CODE_COMBINATION_ID,LAST_UPDATE_DATE,LAST_UPDATED_BY,CHART_OF_ACCOUNTS_ID,DETAIL_POSTING_ALLOWED_FLAG,DETAIL_BUDGETING_ALLOWED_FLAG,ACCOUNT_TYPE,ENABLED_FLAG,SUMMARY_FLAG,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,SEGMENT7,SEGMENT8,SEGMENT9,SEGMENT10,SEGMENT11,SEGMENT12,SEGMENT13,SEGMENT14,SEGMENT15,SEGMENT16,SEGMENT17,SEGMENT18,SEGMENT19,SEGMENT20,SEGMENT21,SEGMENT22,SEGMENT23,SEGMENT24,SEGMENT25,SEGMENT26,SEGMENT27,SEGMENT28,SEGMENT29,SEGMENT30,DESCRIPTION,TEMPLATE_ID,ALLOCATION_CREATE_FLAG,START_DATE_ACTIVE,END_DATE_ACTIVE,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,CONTEXT,SEGMENT_ATTRIBUTE1,SEGMENT_ATTRIBUTE2,SEGMENT_ATTRIBUTE3,SEGMENT_ATTRIBUTE4,SEGMENT_ATTRIBUTE5,SEGMENT_ATTRIBUTE6,SEGMENT_ATTRIBUTE7,SEGMENT_ATTRIBUTE8,SEGMENT_ATTRIBUTE9,SEGMENT_ATTRIBUTE10,SEGMENT_ATTRIBUTE11,SEGMENT_ATTRIBUTE12,SEGMENT_ATTRIBUTE13,SEGMENT_ATTRIBUTE14,SEGMENT_ATTRIBUTE15,SEGMENT_ATTRIBUTE16,SEGMENT_ATTRIBUTE17,SEGMENT_ATTRIBUTE18,SEGMENT_ATTRIBUTE19,SEGMENT_ATTRIBUTE20,SEGMENT_ATTRIBUTE21,SEGMENT_ATTRIBUTE22,SEGMENT_ATTRIBUTE23,SEGMENT_ATTRIBUTE24,SEGMENT_ATTRIBUTE25,SEGMENT_ATTRIBUTE26,SEGMENT_ATTRIBUTE27,SEGMENT_ATTRIBUTE28,SEGMENT_ATTRIBUTE29,SEGMENT_ATTRIBUTE30,SEGMENT_ATTRIBUTE31,SEGMENT_ATTRIBUTE32,SEGMENT_ATTRIBUTE33,SEGMENT_ATTRIBUTE34,SEGMENT_ATTRIBUTE35,SEGMENT_ATTRIBUTE36,SEGMENT_ATTRIBUTE37,SEGMENT_ATTRIBUTE38,SEGMENT_ATTRIBUTE39,SEGMENT_ATTRIBUTE40,SEGMENT_ATTRIBUTE41,SEGMENT_ATTRIBUTE42,REFERENCE1,REFERENCE2,REFERENCE3,REFERENCE4,REFERENCE5,JGZZ_RECON_FLAG,JGZZ_RECON_CONTEXT,PRESERVE_FLAG,REFRESH_FLAG,IGI_BALANCED_BUDGET_FLAG,COMPANY_COST_CENTER_ORG_ID,REVALUATION_ID,LEDGER_SEGMENT,LEDGER_TYPE_CODE,ALTERNATE_CODE_COMBINATION_ID
2854635,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,122,4,6750,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2800672,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,122,14,6220,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2084332,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,122,43,6251,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1934653,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,372,95,6380,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1944594,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,372,20,6750,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2005864,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5326,372,17,6050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2010-05-31 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2316152,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,35,6010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2686058,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,35,6670,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2294170,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,5,5605,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2377537,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,50,5060,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1756403,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,29,6127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2900313,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,35,6251,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2515365,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,30,5220,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1993266,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5300,396,55,6276,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
3381733,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5300,396,52,6611,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
3351753,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,5300,396,20,6055,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1670888,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,95,6370,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1662479,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1800,396,95,6010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1534675,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1251,489,50,5060,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
2739557,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1251,489,5,5860,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1849618,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1251,489,52,6050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1567566,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1251,489,19,6611,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
1589509,2023-12-05 13:19:15.000000 UTC,846065,101,true,true,E,true,false,1251,489,16,6255,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-01 00:00:00.000000 UTC,2009-09-30 00:00:00.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,false,,,,,,,,,
